timestamp_ms,eeg_value,alpha_power,beta_power,theta_power,alpha_beta_ratio,signal_variance,attention_index
1158830,0.0,127.22278899456003,393.1800607303594,209.76374241980233,0.32357385763213636,1335.2273760000003,1.1667530388036422
1158834,0.0,127.59166144634278,394.5529634298928,212.3734724265351,0.323382849129238,1335.2273760000003,1.1605689023888488
1158838,0.0,128.02119117740452,396.30275952000636,215.0728497577843,0.3230388588069917,1335.2273760000003,1.1550849361437434
1158842,0.0,128.510340623565,398.42523457868543,217.855392218725,0.32254568604184475,1335.2273760000003,1.150302110312389
1158846,1.0,129.05792930000916,400.91527619232204,220.71441693396122,0.321908235888969,1335.2096440000005,1.1462177595307186
1158850,0.0,129.66261349562808,403.76685958421643,223.64302807699318,0.32113238225928115,1335.2096440000007,1.1428259584085838
1158854,0.0,130.32291570806962,406.97309142317783,226.63416629153375,0.32022489558789413,1335.2096440000007,1.1401177082781968
1158858,0.0,131.0372496359103,410.52625177726173,229.68065148014574,0.3191933501660861,1335.2096440000005,1.1380811691602168
1158862,0.0,131.8038992587632,414.41778470645784,232.77516938650973,0.3180459529557186,1335.2096440000005,1.136702074284398
1158866,0.0,132.6210229683862,418.63831887232936,235.9102892010526,0.31679140917062387,1335.2096440000007,1.1359640386374792
1158870,0.0,133.4866663921868,423.1777081885591,239.07848131635967,0.31543879511892425,1335.2096440000007,1.1358488834918004
1158874,0.0,134.3987587418452,428.02503496833396,242.27213581853476,0.3139974248277049,1335.2096440000005,1.1363368925320168
1158878,0.0,135.35510913427785,433.1686200943891,245.4835807717024,0.3124767188924799,1335.2096440000005,1.137407071387418
1158882,0.0,136.3534201532769,438.59607095324316,248.70510042210313,0.31088609584879967,1335.2096440000007,1.1390374355535007
1158886,0.0,137.3912933802621,444.2943112908522,251.92895377343172,0.30923486951945345,1335.2096440000007,1.1412052504278072
1158890,0.0,138.46627287062734,450.2496178950709,255.14742004811217,0.30753223849019773,1335.2096440000007,1.1438870772316772
1158894,0.0,139.57580835991917,456.44764825572565,258.3527861886481,0.30578711248331714,1335.2096440000007,1.1470591793647966
1158898,0.0,140.71722631658622,462.8734693169152,261.53734109260563,0.30400797549327996,1335.2096440000007,1.1506978557072818
1158902,0.0,141.8876636370953,469.5115576533372,264.69325922851175,0.3022027068859884,1335.2096440000007,1.154780094426003
1158906,0.0,143.0836891480818,476.3458526089941,267.8116119103173,0.3003777368153791,1335.2096440000007,1.1592876584928506
1158910,0.0,144.30189818005627,483.3600209293308,270.88322665823887,0.29853916735317626,1335.2096440000007,1.1642036066522967
1158914,0.0,145.53950808400262,490.537875517729,273.8994784741036,0.296693722029916,1335.2096440000007,1.1695094878364718
1158918,0.0,146.79379147961112,497.86249759076685,276.8527172048239,0.2948480598357354,1335.2096440000007,1.1751837586520275
1158922,0.0,148.06181929221617,505.3159094976998,279.7364434928895,0.29300842603470445,1335.2096440000007,1.1812014032659406
1158926,0.0,149.34158871775307,512.8805225362485,282.54330864566185,0.2911820241861459,1335.2096440000007,1.187539838692574
1158930,0.0,150.63161140119468,520.5385193750069,285.26567918818876,0.28937649337085175,1335.2096440000007,1.1941769986158937
1158934,0.0,151.92967687176017,528.2709270478808,287.8968906420123,0.28759802800578826,1335.2096440000007,1.201089167562052
1158938,0.0,153.23254948034295,536.058444617661,290.43112015488435,0.2858504534699285,1335.2096440000005,1.2082540899734817
1158942,0.0,154.53629294050765,543.8817487192355,292.8630814997932,0.28413583155606664,1335.2096440000005,1.215651560049638
1158946,0.0,155.83695560479242,551.7214088860674,295.1876279040779,0.2824558791717531,1335.2096440000005,1.2232623848805224
1158950,0.0,157.13056459795152,559.5579396299952,297.3997678043981,0.2808119650698787,1335.2096440000007,1.2310684205418592
1158954,0.0,158.41315536438472,567.3718417305093,299.49467196143155,0.27920517676946666,1335.2096440000007,1.2390525049657066
1158958,0.0,159.680795554239,575.1436452898475,301.46768143981797,0.2776363728643247,1335.2096440000005,1.2471984029778358
1158962,0.0,160.92957724668446,582.8539625186074,303.31432278021987,0.27610617340796895,1335.2096440000005,1.255490834083848
1158966,0.0,162.15562687889482,590.4835348431011,305.0303186077999,0.2746149846870525,1335.2096440000005,1.2639154479787371
1158970,0.0,163.3551252302563,598.0132901524579,306.6115901534646,0.27316303486935956,1335.2096440000005,1.2724588131560126
1158974,0.0,164.52430407945855,605.4243758352253,308.0542769013073,0.27175037981000644,1335.2096440000005,1.2811083678351431
1158978,0.0,165.65944739442375,612.6981958773213,309.35475232716965,0.27037691396694313,1335.2096440000005,1.2898523769322523
1158982,0.0,166.75691250724225,619.816468074244,310.50962389680194,0.26904240383504535,1335.2096440000005,1.2986799188678924
1158986,0.0,167.81313943662872,626.7612685316567,311.5157413951338,0.26774650550722845,1335.2096440000005,1.3075808537480136
1158990,0.0,168.824678752163,633.5150543385714,312.37019057521957,0.26648881916220024,1335.2096440000005,1.3165457352185765
1158994,0.0,169.7881752737577,640.0607344309748,313.07031941223397,0.26526885050166743,1335.2096440000005,1.3255658544883788
1158998,0.0,170.70036184033233,646.3817279133366,313.61375612840607,0.26408599511528724,1335.2096440000005,1.3346332526701732
1159002,0.0,171.55808991673354,652.4619796980329,313.99839860396315,0.262939596872959,1335.2096440000005,1.3437406229336821
1159006,0.0,172.35833775167777,658.2859996817707,314.2224199189542,0.2618289585909459,1335.2096440000005,1.3528812801399048
1159010,0.0,173.0982184572183,663.8389032853769,314.28426836891737,0.260753350851457,1335.2096440000005,1.362049150034682
